StockCode,Description,Category,AvgUnitPrice,PriceStd,TotalUnitsSold,TotalRevenue,NumInvoices,UniqueCustomers,CountriesSoldTo,AvgQuantityPerInvoice,CustomerPenetration,RevenuePerCustomer,UnitsPerCustomer,InvoicePenetration
10002,INFLATABLE POLITICAL GLOBE,General Gifts,0.8413880126182964,0.03238364148138345,8624,6761.5199999999995,297,164,12,29.037037037037038,0.027900646478394013,41.228780487804876,52.58536585365854,0.008033758013470746
10080,GROOVY CACTUS INFLATABLE,General Gifts,0.5092592592592593,0.20542499896417232,303,124.60999999999999,26,23,1,11.653846153846153,0.003912895542701599,5.417826086956521,13.173913043478262,0.0007032919473072034
10109,BENDY COLOUR PENCILS,Stationery & Crafts,0.42,0.0,4,1.68,1,1,1,4.0,0.0001701258931609391,1.68,4.0,2.7049690281046283e-05
10120,DOGGY RUBBER,General Gifts,0.21,0.0,664,139.44,62,52,2,10.709677419354838,0.008846546444368834,2.6815384615384614,12.76923076923077,0.0016770807974248695
10123C,HEARTS WRAPPING TAPE,Home Decor,0.6240000000000001,0.11752550743544646,632,229.36,46,39,5,13.73913043478261,0.006634909833276624,5.881025641025642,16.205128205128204,0.001244285752928129
10123G,ARMY CAMO WRAPPING TAPE,Stationery & Crafts,0.5592307692307693,0.22156494677864916,2246,157.18,12,12,2,187.16666666666666,0.002041510717931269,13.098333333333334,187.16666666666666,0.00032459628337255537
10124A,SPOTS ON RED BOOKCOVER TAPE,General Gifts,0.42,0.0,62,26.04,18,18,1,3.4444444444444446,0.003062266076896904,1.4466666666666665,3.4444444444444446,0.00048689442505883305
10124G,ARMY CAMO BOOKCOVER TAPE,General Gifts,0.42000000000000004,0.0,37,15.54,9,9,1,4.111111111111111,0.001531133038448452,1.7266666666666666,4.111111111111111,0.00024344721252941653
10125,MINI FUNKY DESIGN TAPES,General Gifts,0.8176691729323309,0.11381728591385241,2016,1601.8,120,87,6,16.8,0.014800952705001702,18.411494252873563,23.17241379310345,0.0032459628337255537
10133,COLOURING PENCILS BROWN TUBE,Stationery & Crafts,0.6595283018867925,0.2128029240947218,3351,1943.46,203,153,8,16.507389162561577,0.02602926165362368,12.702352941176471,21.901960784313726,0.005491087127052395
10134,COLOURING PENCILS BROWN TUBE,Stationery & Crafts,1.2426923076923078,0.03689494277557931,614,704.8,48,44,4,12.791666666666666,0.00748553929908132,16.018181818181816,13.954545454545455,0.0012983851334902215
10135,COLOURING PENCILS BROWN TUBE,Stationery & Crafts,1.2225193798449614,0.35441990969132386,3920,4089.39,249,178,7,15.742971887550201,0.03028240898264716,22.974101123595506,22.02247191011236,0.006735372879980524
10138,ASSORTED COLOUR JUMBO PEN,Stationery & Crafts,0.42,0.0,247,103.74,16,14,1,15.4375,0.0023817625042531474,7.409999999999999,17.642857142857142,0.0004327950444967405
11001,ASSTD DESIGN RACING CAR PEN,Kids & Toys,1.7272105263157895,0.3277938245650792,4325,6696.69,178,118,11,24.297752808988765,0.020074855392990813,56.75161016949152,36.652542372881356,0.004814844870026238
15030,FAN BLACK FRAME,Home Decor,0.29,0.0,254,73.66,26,23,1,9.76923076923077,0.003912895542701599,3.2026086956521738,11.043478260869565,0.0007032919473072034
15034,PAPER POCKET TRAVELING FAN,Stationery & Crafts,0.13803370786516855,0.011598703841672593,9928,1171.5200000000002,172,123,9,57.72093023255814,0.020925484858795508,9.524552845528458,80.71544715447155,0.004652546728339961
15036,ASSORTED COLOURS SILK FAN,General Gifts,0.7658034321372855,0.06317400613149393,41078,28829.32,634,303,14,64.79179810725552,0.051548145627764545,95.1462706270627,135.57095709570956,0.017149503638183343
15039,SANDALWOOD FAN,General Gifts,0.8310752688172042,0.07568729931074551,4163,2863.35,180,127,8,23.127777777777776,0.021605988431439266,22.546062992125982,32.77952755905512,0.0048689442505883305
15044A,PINK PAPER PARASOL,Stationery & Crafts,2.956564102564103,0.3036105579021918,4900,12821.48,194,116,8,25.257731958762886,0.019734603606668934,110.53,42.241379310344826,0.005247639914522978
15044B,BLUE PAPER PARASOL,Stationery & Crafts,2.920666666666667,0.10462247032802834,1626,4382.3,148,97,7,10.986486486486486,0.016502211636611093,45.17835051546392,16.762886597938145,0.00400335416159485
15044C,PURPLE PAPER PARASOL,Stationery & Crafts,2.933030303030303,0.08086743324141044,866,2440.3,160,100,7,5.4125,0.01701258931609391,24.403000000000002,8.66,0.0043279504449674055
15044D,RED PAPER PARASOL,Stationery & Crafts,2.9334554973821994,0.23410882952534076,1545,4255.79,188,105,7,8.21808510638298,0.017863218781898605,40.531333333333336,14.714285714285714,0.005085341772836701
15056BL,EDWARDIAN PARASOL BLACK,General Gifts,5.796563245823389,0.5340735255025637,9488,46676.22,788,321,14,12.040609137055837,0.05461041170466145,145.40878504672898,29.557632398753896,0.02131515594146447
15056N,EDWARDIAN PARASOL NATURAL,General Gifts,5.78806598407281,0.4882887138553392,11027,54741.46,863,347,14,12.777520278099653,0.05903368492684587,157.7563688760807,31.778097982708935,0.02334388271254294
15056P,EDWARDIAN PARASOL PINK,General Gifts,5.841798780487805,0.5179058004140168,2492,12141.210000000001,321,186,9,7.7632398753894085,0.03164341612793467,65.27532258064517,13.397849462365592,0.008682950580215856
